I can not answer any questions without proper ID.	沒有適當的身分證明，我沒辦法回答任何問題。
This guy is more talkative dead than alive. He's dead silent.	這傢伙死後反而比生前愛講話——才怪，他安靜得跟具屍體一樣。
If you touch him, he might touch you back.	你要是敢碰他，他可能也會碰你一下喔。
The guard has nothing else of interest.	這守衛身上沒有其他有意思的東西了。
Oh no Roger! The guard has seen you and you're not wearing the helmet! You're in for it now Wilco!	糟了羅傑！守衛看到你了，你沒戴頭盔！威爾科，你這下慘了！
Boy, you're no Marshall Dillon, that's for sure. And you were so close. You'll need to react a little faster be little sharper than that. Well, throw a little bondo into that hole and get back in there.	少來了，你才不是什麼神槍手警長，這點無庸置疑，你只差了那麼一點點而已。下次得反應快一點、機伶一點才行。好啦，先拿補土把那個洞補一補，然後回去繼續幹活吧。
The Sarien warrior is guarding the stolen Star Generator so intensly, he didn't notice the gas grenade exploding.	那名沙利安戰士看守被偷來的星辰產生器看得太專心，根本沒注意到瓦斯手榴彈就在旁邊炸開了。
Actually, his walkman is cranked up too high.	其實是他的隨身聽開得太大聲了啦。
The dead Sarien guard might have noticed that, if he were alive.	那個死掉的沙利安守衛要是還活著，說不定會注意到吧。
You remove the device from the guard's belt. It looks like you have found the remote control that turns off the force field around the Star Generator.	你從守衛的腰帶上拿下那個裝置，看起來你找到了能關掉星辰產生器周圍力場的遙控器。
You press the stud on the remote and the force field around the Star Generator begins to deplete.	你按下遙控器上的按鈕，星辰產生器周圍的力場開始減弱。
Ouch! That stings just a tad. You'll obviously need to disarm that baby before trying that again.	哎唷！這下有點刺痛喔。看樣子你得先把那玩意兒解除，才能再試一次。
Sir, the destruct code is %d.	長官，自爆密碼是 %d。
It appears the shield is preventing you from getting to the Star Generator's control panel and boy is it hot. You'd better not try to get close to the Star Generator again.	看來這道護盾擋住了你靠近星辰產生器控制面板的路，而且燙得要命。你最好別再想靠近星辰產生器了。
