You talk to yourself and, as usual, learn nothing that you didn't already know.	你自言自語，結果跟往常一樣，學不到什麼新東西。
Hey! One shouldn't attempt to manipulate one's self in a family game.	喂！這可是闔家歡樂的遊戲，別對自己毛手毛腳的。
Better not. You're likely to get a fur ball.	還是別了吧，你搞不好會咳出一顆毛球。
The odor you're producing causes you to regret skipping last month's shower.	你身上飄出的味道，讓你開始後悔上個月沒去洗澡。
You're too busy right now.	你現在正忙，沒空幹這個。
Better save it for when you're thirsty.	還是留著吧，等你口渴了再說。
You don't want to do that here.	你不會想在這裡做這種事的。
You wisely strap on the jetpack to allow your self motion control.	你很聰明地繫上噴射背包，這樣才能控制自己怎麼動。
The jetpack is useful only in Zero-G situations.	噴射背包只有在無重力狀態下才派得上用場。
Don't bother. This knife wouldn't cut hot lard.	別費事了，這把刀連熱豬油都切不動。
Isn't this just the most amazing waste of time?	這也太浪費時間了吧？
You have to wonder why you're performing such a useless action.	你不禁納悶，自己幹嘛做這種沒用的事。
You wisely decide this is a serious waste of time and energy.	你很聰明，一眼就看出這根本是在浪費時間跟力氣。
You ask yourself why you're doing this and are forced to reply that you just don't know.	你問自己幹嘛這麼做，結果只能老實回答：不知道。
Even for you, this isn't bright.	就算是你，這樣做也不太聰明。
Thank you for playing Space Quest I. You've been most entertaining.	感謝你玩《宇宙傳奇I》，你這一路真是笑料十足。
"Are you sure you want to restart?"	「你確定要重新開始嗎？」
Memory fragmented.	記憶體已經支離破碎。
What did you expect them to do, reproduce?	你還期待「他們」會做什麼，自我複製喔？
You're far too busy for that now.	你現在忙得很，沒空做這個。
You switch the gadget off to conserve its energy.	你把小裝置關掉，省點電。
You switch the gadget on.	你把小裝置打開。
You're far to busy for that now.	你現在忙得很，沒空做這個。
You scrape that sticky goo from the bottom of the rock.	你把石頭底部那坨黏糊糊的東西刮下來。
There is nothing you can do to the rock.	石頭這東西你拿它沒轍。
You've already opened the survival kit and removed its contents.	你早就打開求生包，把裡面的東西拿出來了。
Upon opening the survival kit you discover a Xenon army knife and a canister of dehydrated water.	打開求生包，你發現一把氙星軍刀和一罐濃縮水。
You have %d Buckazoid%s	你有 %d 枚太空幣
Thank you for playing Space Quest I. Too bad you've failed miserably and doomed all of your people to a horrible death at the hands of the Sariens. You quickly glance about the room to see if anyone saw your silly mistake. Better luck next time.	謝謝你玩《宇宙傳奇I》。只可惜你搞砸了，把全體同胞都害死在沙利安人手上，死狀淒慘。你趕緊瞄一眼四周，看看有沒有人看到你這蠢招。祝你下次好運。
Score: %d of %d	分數： %d / %d
As we join our story, the crew of the Arcada is returning home to Xenon after a successful mission developing the Star Generator. Exhilarated by their accomplishments, they are oblivious to the fact that a sinister craft approaches rapidly from behind.	話說我們的故事，阿寇達號的組員們才剛成功研發出星辰產生器，正要返航氙星。他們沉浸在成就的喜悅中，渾然不知一艘來意不善的飛船正從後方急速逼近。
***Thank you for playing Space Quest I. You've been most entertaining.	***謝謝你玩《宇宙傳奇I》，你的表現真是逗趣。
This is the Data Archive of the Arcada. An interesting array of devices (none of of which you know how to operate) are provided for data study by those with proper clearance.	這裡是阿寇達號的資料庫。裡頭擺著一整排稀奇古怪的裝置(你半個都不會操作)，是提供給持有適當權限的人做資料研究用的。
This is an area of non-descript hallway beneath the Data Archive Storage Cabin.	這是一段毫無特色的走廊，就在資料庫儲藏艙下方。
The door opens. A man you recognize as one of the head lab scientists stumbles into the room. He appears to be in serious need of some Abdo-Seal abdomen filler!	門開了。一個你認得是首席實驗室科學家的男人，踉踉蹌蹌地跌進房間裡。他看起來急需來一些「腹腔快補」填充劑！
After only a few steps, he hits the floor with a disconcerting thud.	才走沒幾步，他就砰的一聲倒在地上，那聲音讓人渾身不對勁。
His lips move.	他的嘴唇動了動。
Just before his systems cease all functions short of decay, he looks over toward the shelves full of cartridges and utters "%s". With one last gasp, his lifeless form slumps to the floor.	就在他的身體機能即將完全停擺、只剩腐化一途之前，他望向那排擺滿資料匣的架子，吐出一句「%s」。隨著最後一口氣，他癱軟的身軀滑落在地。
No amount of money will put this man's lungs back in his chest.	就算有再多錢，也沒辦法把這個人的肺放回他的胸腔裡。
It's a grisly sight. You can't tell where the toasted synthetic fabrics end and the fused organic material begins. There is nothing you can do for him now.	這畫面實在慘不忍睹。你根本分不清烤焦的合成布料在哪裡結束，融化的血肉又從哪裡開始。你現在幫不了他了。
You see a man dressed in a lab coat. He appears to be ailing in a major way.	你看到一個穿實驗袍的男人，他的狀況顯然糟透了。
